"","GAIa","GAIb","GAIIa","GAIIb","GAIII"
"42",0.41799709724238,0.412191582002903,0.552238805970149,0.612903225806452,0.0551523947750363
"98",0.397677793904209,0.435413642960813,0.514925373134328,0.60752688172043,0.0653120464441219
"120",0.416545718432511,0.415094339622642,0.526119402985075,0.60752688172043,0.04644412191582
"139",0.407837445573295,0.432510885341074,0.51865671641791,0.618279569892473,0.0711175616835994
"191",0.436865021770682,0.44121915820029,0.548507462686567,0.639784946236559,0.0435413642960813
"60",0.433962264150943,0.438316400580552,0.514925373134328,0.60752688172043,0.0478955007256894
"198",0.432510885341074,0.393323657474601,0.563432835820896,0.623655913978495,0.0537010159651669
"88",0.399129172714078,0.420899854862119,0.522388059701492,0.596774193548387,0.0551523947750363
"172",0.410740203193033,0.412191582002903,0.552238805970149,0.623655913978495,0.0522496371552975
"49",0.39622641509434,0.433962264150943,0.51865671641791,0.650537634408602,0.0624092888243832
"94",0.428156748911466,0.406386066763425,0.555970149253731,0.602150537634409,0.0638606676342525
"127",0.384615384615385,0.447024673439768,0.488805970149254,0.60752688172043,0.0566037735849057
"130",0.410740203193033,0.444121915820029,0.48134328358209,0.559139784946237,0.0667634252539913
"74",0.41944847605225,0.428156748911466,0.555970149253731,0.650537634408602,0.0551523947750363
"56",0.425253991291727,0.41944847605225,0.567164179104478,0.682795698924731,0.0507982583454282
"135",0.415094339622642,0.444121915820029,0.533582089552239,0.612903225806452,0.0566037735849057
"32",0.448476052249637,0.426705370101597,0.533582089552239,0.586021505376344,0.0595065312046444
"186",0.439767779390421,0.423802612481858,0.533582089552239,0.60752688172043,0.058055152394775
"50",0.404934687953556,0.403483309143687,0.492537313432836,0.602150537634409,0.0638606676342525
"54",0.447024673439768,0.435413642960813,0.567164179104478,0.634408602150538,0.0478955007256894
"5",0.425253991291727,0.407837445573295,0.466417910447761,0.56989247311828,0.0711175616835994
"158",0.41944847605225,0.404934687953556,0.514925373134328,0.580645161290323,0.0754716981132075
"37",0.402031930333817,0.378809869375907,0.563432835820896,0.623655913978495,0.0725689404934688
"160",0.433962264150943,0.41799709724238,0.529850746268657,0.586021505376344,0.0740203193033382
"151",0.41944847605225,0.390420899854862,0.537313432835821,0.56989247311828,0.0624092888243832
"16",0.41799709724238,0.438316400580552,0.511194029850746,0.612903225806452,0.0653120464441219
"35",0.422351233671988,0.407837445573295,0.548507462686567,0.586021505376344,0.0537010159651669
"177",0.415094339622642,0.403483309143687,0.529850746268657,0.575268817204301,0.0740203193033382
"78",0.41944847605225,0.41799709724238,0.544776119402985,0.661290322580645,0.0595065312046444
"138",0.409288824383164,0.413642960812772,0.544776119402985,0.60752688172043,0.0682148040638607
"179",0.41944847605225,0.428156748911466,0.559701492537313,0.629032258064516,0.0667634252539913
"53",0.404934687953556,0.420899854862119,0.507462686567164,0.559139784946237,0.06966618287373
"26",0.433962264150943,0.386066763425254,0.593283582089552,0.580645161290323,0.0609579100145138
"185",0.406386066763425,0.432510885341074,0.533582089552239,0.639784946236559,0.0551523947750363
"117",0.436865021770682,0.41799709724238,0.537313432835821,0.586021505376344,0.058055152394775
"196",0.423802612481858,0.431059506531205,0.548507462686567,0.612903225806452,0.0522496371552975
"129",0.41799709724238,0.415094339622642,0.537313432835821,0.591397849462366,0.04644412191582
"44",0.461538461538462,0.390420899854862,0.567164179104478,0.564516129032258,0.0595065312046444
"41",0.404934687953556,0.41799709724238,0.544776119402985,0.618279569892473,0.0522496371552975
"154",0.415094339622642,0.406386066763425,0.548507462686567,0.650537634408602,0.0595065312046444
"109",0.422351233671988,0.406386066763425,0.533582089552239,0.618279569892473,0.0537010159651669
"63",0.415094339622642,0.431059506531205,0.5,0.596774193548387,0.04644412191582
"76",0.425253991291727,0.413642960812772,0.548507462686567,0.586021505376344,0.0638606676342525
"19",0.409288824383164,0.41944847605225,0.526119402985075,0.623655913978495,0.0624092888243832
"67",0.402031930333817,0.387518142235123,0.541044776119403,0.586021505376344,0.058055152394775
"121",0.455732946298984,0.404934687953556,0.533582089552239,0.580645161290323,0.0551523947750363
"144",0.429608127721335,0.37155297532656,0.58955223880597,0.559139784946237,0.058055152394775
"175",0.409288824383164,0.425253991291727,0.492537313432836,0.553763440860215,0.0682148040638607
"90",0.397677793904209,0.412191582002903,0.537313432835821,0.629032258064516,0.0667634252539913
"194",0.399129172714078,0.41799709724238,0.526119402985075,0.586021505376344,0.0682148040638607
"150",0.380261248185777,0.426705370101597,0.492537313432836,0.639784946236559,0.0653120464441219
"171",0.420899854862119,0.410740203193033,0.541044776119403,0.56989247311828,0.0638606676342525
"123",0.429608127721335,0.426705370101597,0.511194029850746,0.596774193548387,0.0609579100145138
"195",0.409288824383164,0.410740203193033,0.492537313432836,0.586021505376344,0.0667634252539913
"83",0.422351233671988,0.426705370101597,0.526119402985075,0.612903225806452,0.0595065312046444
"66",0.407837445573295,0.409288824383164,0.537313432835821,0.60752688172043,0.0754716981132075
"52",0.397677793904209,0.433962264150943,0.462686567164179,0.586021505376344,0.0667634252539913
"170",0.41944847605225,0.426705370101597,0.526119402985075,0.623655913978495,0.0609579100145138
"27",0.44267053701016,0.420899854862119,0.526119402985075,0.612903225806452,0.0682148040638607
"200",0.41944847605225,0.404934687953556,0.526119402985075,0.591397849462366,0.0667634252539913
"33",0.428156748911466,0.41799709724238,0.57089552238806,0.629032258064516,0.0537010159651669
"99",0.409288824383164,0.412191582002903,0.537313432835821,0.580645161290323,0.0653120464441219
"48",0.435413642960813,0.410740203193033,0.578358208955224,0.612903225806452,0.0754716981132075
"25",0.380261248185777,0.431059506531205,0.503731343283582,0.612903225806452,0.0638606676342525
"115",0.449927431059507,0.39622641509434,0.533582089552239,0.564516129032258,0.058055152394775
"36",0.431059506531205,0.447024673439768,0.537313432835821,0.634408602150538,0.0595065312046444
"21",0.451378809869376,0.399129172714078,0.582089552238806,0.548387096774194,0.0624092888243832
"128",0.438316400580552,0.422351233671988,0.514925373134328,0.596774193548387,0.0522496371552975
"183",0.426705370101597,0.400580551523948,0.511194029850746,0.548387096774194,0.0711175616835994
"140",0.422351233671988,0.428156748911466,0.511194029850746,0.596774193548387,0.0566037735849057
"59",0.429608127721335,0.39477503628447,0.57089552238806,0.580645161290323,0.0769230769230769
"51",0.444121915820029,0.432510885341074,0.555970149253731,0.639784946236559,0.0566037735849057
"55",0.409288824383164,0.413642960812772,0.492537313432836,0.586021505376344,0.0551523947750363
"119",0.439767779390421,0.378809869375907,0.563432835820896,0.580645161290323,0.06966618287373
"58",0.406386066763425,0.410740203193033,0.522388059701492,0.586021505376344,0.0537010159651669
"146",0.428156748911466,0.44121915820029,0.533582089552239,0.60752688172043,0.0653120464441219
"197",0.415094339622642,0.403483309143687,0.522388059701492,0.602150537634409,0.0638606676342525
"7",0.420899854862119,0.420899854862119,0.548507462686567,0.639784946236559,0.0667634252539913
"97",0.436865021770682,0.404934687953556,0.57089552238806,0.60752688172043,0.0653120464441219
"137",0.429608127721335,0.402031930333817,0.537313432835821,0.586021505376344,0.0667634252539913
"106",0.438316400580552,0.404934687953556,0.529850746268657,0.586021505376344,0.0653120464441219
"85",0.422351233671988,0.445573294629898,0.466417910447761,0.548387096774194,0.0537010159651669
"91",0.454281567489115,0.39622641509434,0.563432835820896,0.580645161290323,0.0522496371552975
"65",0.438316400580552,0.433962264150943,0.559701492537313,0.586021505376344,0.0522496371552975
"101",0.416545718432511,0.44121915820029,0.492537313432836,0.618279569892473,0.0507982583454282
"30",0.444121915820029,0.423802612481858,0.541044776119403,0.612903225806452,0.0551523947750363
"155",0.431059506531205,0.438316400580552,0.555970149253731,0.645161290322581,0.058055152394775
"96",0.428156748911466,0.426705370101597,0.526119402985075,0.575268817204301,0.0624092888243832
"190",0.439767779390421,0.397677793904209,0.574626865671642,0.564516129032258,0.0638606676342525
"31",0.439767779390421,0.431059506531205,0.537313432835821,0.629032258064516,0.0537010159651669
"81",0.407837445573295,0.415094339622642,0.533582089552239,0.634408602150538,0.0507982583454282
"17",0.445573294629898,0.416545718432511,0.57089552238806,0.60752688172043,0.058055152394775
"110",0.420899854862119,0.390420899854862,0.526119402985075,0.564516129032258,0.0653120464441219
"10",0.375907111756168,0.425253991291727,0.48134328358209,0.612903225806452,0.0638606676342525
"163",0.409288824383164,0.404934687953556,0.552238805970149,0.60752688172043,0.0566037735849057
"89",0.428156748911466,0.416545718432511,0.563432835820896,0.629032258064516,0.0609579100145138
"143",0.412191582002903,0.44121915820029,0.496268656716418,0.580645161290323,0.0566037735849057
"159",0.409288824383164,0.444121915820029,0.492537313432836,0.602150537634409,0.0537010159651669
"136",0.400580551523948,0.415094339622642,0.522388059701492,0.612903225806452,0.06966618287373
"149",0.438316400580552,0.388969521044993,0.582089552238806,0.586021505376344,0.058055152394775
"126",0.412191582002903,0.444121915820029,0.522388059701492,0.645161290322581,0.0566037735849057
